search,ICD9,ICD9 Description
49122,491.22,Obstructive chronic bronchitis with acute bronchitis
27803,278.03,Obesity hypoventilation syndrome
496,496,"Chronic airway obstruction, not elsewhere classified"
515,515,Postinflammatory pulmonary fibrosis
38612,386.12,Vestibular neuronitis
3051,305.1,Tobacco use disorder
V0382,V03.82,Other specified vaccinations against streptococcus pneumoniae [pneumococcus]
4233,423.3,Cardiac tamponade
20410,204.1,"Chronic lymphoid leukemia, without mention of having achieved remission"
V5861,V58.61,Long-term (current) use of anticoagulants
3314,331.4,Obstructive hydrocephalus
25002,250.02,"Diabetes mellitus without mention of complication, type II or unspecified type, uncontrolled"
7070,7070,Unspecified viral hepatitis c without hepatic coma
28860,288.6,"Leukocytosis, unspecified"
24290,242.9,"Thyrotoxicosis without mention of goiter or other cause, and without mention of thyrotoxic crisis or storm"
V7283,V72.83,Other specified pre-operative examination
412,412,Old myocardial infarction
40390,403.9,"Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage I through stage IV, or unspecified"
79431,794.31,Nonspecific abnormal electrocardiogram [ECG] [EKG]
25001,250.01,"Diabetes mellitus without mention of complication, type I [juvenile type], not stated as uncontrolled"
V1083,V10.83,Personal history of other malignant neoplasm of skin
1119,111.9,"Dermatomycosis, unspecified"
2689,268.9,Unspecified vitamin D deficiency
2273,227.3,Benign neoplasm of pituitary gland and craniopharyngeal duct
2777,277.7,Dysmetabolic syndrome X
2713,271.3,Intestinal disaccharidase deficiencies and disaccharide malabsorption
34690,346.9,"Migraine, unspecified, without mention of intractable migraine without mention of status migrainosus"
36250,362.5,"Macular degeneration (senile), unspecified"
7851,785.1,Palpitations
7804,780.4,Dizziness and giddiness
V140,V14.0,Personal history of allergy to penicillin
V4589,V45.89,Other postprocedural status
3899,389.9,Unspecified hearing loss
3963,396.3,Mitral valve insufficiency and aortic valve insufficiency
51289,512.89,Other pneumothorax
2532,253.2,Panhypopituitarism
78079,780.79,Other malaise and fatigue
45829,458.29,Other iatrogenic hypotension
42843,428.43,Acute on chronic combined systolic and diastolic heart failure
43411,434.11,Cerebral embolism with cerebral infarction
28981,289.81,Primary hypercoagulable state
4928,492.8,Other emphysema
7455,745.5,Ostium secundum type atrial septal defect
2762,276.2,Acidosis
5990,599,"Urinary tract infection, site not specified"
25070,250.7,"Diabetes with peripheral circulatory disorders, type II or unspecified type, not stated as uncontrolled"
V151,V151,"Personal history of surgery to heart and great vessels, presenting hazards to health"
42518,425.18,Other hypertrophic cardiomyopathy
51881,518.81,Acute respiratory failure
29420,294.2,"Dementia, unspecified, without behavioral disturbance"
8020,8020,Closed fracture of nasal bones
2863,286.3,Congenital deficiency of other clotting factors
29620,296.2,"Major depressive affective disorder, single episode, unspecified"
40310,403.1,"Hypertensive chronic kidney disease, benign, with chronic kidney disease stage I through stage IV, or unspecified"
24200,242,Toxic diffuse goiter without mention of thyrotoxic crisis or storm
25060,250.6,"Diabetes with neurological manifestations, type II or unspecified type, not stated as uncontrolled"
V4501,V45.01,Cardiac pacemaker in situ
2452,245.2,Chronic lymphocytic thyroiditis
28989,289.89,Other specified diseases of blood and blood-forming organs
2722,272.2,Mixed hyperlipidemia
33829,338.29,Other chronic pain
37272,372.72,Conjunctival hemorrhage
3962,396.2,Mitral valve insufficiency and aortic valve stenosis
7054,7054,Chronic hepatitis C without mention of hepatic coma
5119,511.9,Unspecified pleural effusion
2559,255.9,Unspecified disorder of adrenal glands
V1254,V12.54,"Personal history of transient ischemic attack (TIA), and cerebral infarction without residual deficits"
J188,486,"Pneumonia, organism unspecified"
5853,585.3,"Chronic kidney disease, Stage III (moderate)"
47830,478.3,"Paralysis of vocal cords or larynx, unspecified"
7140,714,Rheumatoid arthritis
7100,710,Systemic lupus erythematosus
29682,296.82,Atypical depressive disorder
78609,786.09,Other respiratory abnormalities
V1582,V15.82,Personal history of tobacco use
4588,458.8,Other specified hypotension
4241,424.1,Aortic valve disorders
42821,428.21,Acute systolic heart failure
25062,250.62,"Diabetes with neurological manifestations, type II or unspecified type, uncontrolled"
20300,203,"Multiple myeloma, without mention of having achieved remission"
D62,285.1,Acute posthemorrhagic anemia
E785,272.4,Other and unspecified hyperlipidemia
E119,250,"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled"
I2510,414.01,Coronary atherosclerosis of native coronary artery
H409,365.9,Unspecified glaucoma
I119,402,Malignant hypertensive heart disease without heart failure
I10,401,Malignant essential hypertension
E038,244.8,Other specified acquired hypothyroidism
I081,397.9,"Rheumatic diseases of endocardium, valve unspecified"
D649,285.9,"Anemia, unspecified"
E039,244.9,Unspecified acquired hypothyroidism
E780,272,Pure hypercholesterolemia
E1122,250.4,"Diabetes with renal manifestations, type II or unspecified type, not stated as uncontrolled"
E669,278,"Obesity, unspecified"
E1121,250.4,"Diabetes with renal manifestations, type II or unspecified type, not stated as uncontrolled"
E6601,278.01,Morbid obesity
G4733,327.23,Obstructive sleep apnea (adult)(pediatric)
I314,423.3,Cardiac tamponade
B1920,70.7,Unspecified viral hepatitis C without hepatic coma
I429,425.4,Other primary cardiomyopathies
E46,263.8,Other protein-calorie malnutrition
D580,282,Hereditary spherocytosis
E079,246.9,Unspecified disorder of thyroid
E041,241,Nontoxic uninodular goiter
E1140,250.6,"Diabetes with neurological manifestations, type II or unspecified type, not stated as uncontrolled"
G4730,327.2,"Organic sleep apnea, unspecified"
D693,287.31,Immune thrombocytopenic purpura
I272,416.8,Other chronic pulmonary heart diseases
F419,300,"Anxiety state, unspecified"
D696,287.5,"Thrombocytopenia, unspecified"
F0390,290,"Senile dementia, uncomplicated"
I129,403,"Hypertensive chronic kidney disease, malignant, with chronic kidney disease stage I through stage IV, or unspecified"
I5032,428.32,"Congestive heart failure, unspecified"
N179,584.9,"Acute kidney failure, unspecified"
J449,491.2,Obstructive chronic bronchitis without exacerbation
J069,465.8,Acute upper respiratory infections of other multiple sites
R310,599.71,Gross hematuria
G8929,338.29,Other chronic pain
I5033,428.33,Acute on chronic diastolic heart failure
D689,286.9,Other and unspecified coagulation defects
J90,511.1,"Pleurisy with effusion, with mention of a bacterial cause other than tuberculosis"
R079,786.5,"Chest pain, unspecified"
D709,288,"Neutropenia, unspecified"
D472,273.1,Monoclonal paraproteinemia
I701,440.1,Atherosclerosis of renal artery
Z6841,V85.41,"Body Mass Index 40.0-44.9, adult"
I712,441.2,Thoracic aneurysm without mention of rupture
C7951,198.5,Secondary malignant neoplasm of bone and bone marrow
G8191,342.81,Other specified hemiplegia and hemiparesis affecting dominant side
E042,241.1,Nontoxic multinodular goiter
E782,272.2,Mixed hyperlipidemia
C9590,208.2,"Subacute leukemia of unspecified cell type, without mention of having achieved remission"
E6609,278,"Obesity, unspecified"
K5090,555.9,Regional enteritis of unspecified site
C8590,202.8,"Other malignant lymphomas, unspecified site, extranodal and solid organ sites"
E1144,250.6,"Diabetes with neurological manifestations, type II or unspecified type, not stated as uncontrolled"
I5042,428.42,"Congestive heart failure, unspecified"
R739,790.29,Other abnormal glucose
G7111,359.21,Myotonic muscular dystrophy
E118,250.9,"Diabetes with unspecified complication, type II or unspecified type, not stated as uncontrolled"
E663,278.02,Overweight
Y92234,E849.7,Accidents occurring in residential institution
F329,296.2,"Major depressive affective disorder, single episode, unspecified"
Z7901,V58.61,Long-term (current) use of anticoagulants
I452,426.51,Right bundle branch block and left posterior fascicular block
I428,425.2,Obscure cardiomyopathy of Africa
R042,786.3,"Hemoptysis, unspecified"
Z6843,V85.43,"Body Mass Index 50.0-59.9, adult"
I351,424.1,Aortic valve disorders
N186,585.6,End stage renal disease
M4712,721.1,Cervical spondylosis with myelopathy
I447,426.3,Other left bundle branch block
R578,785.59,Other shock without mention of trauma
K760,571.8,Other chronic nonalcoholic liver disease
Q211,745.5,Ostium secundum type atrial septal defect
Z6845,V85.45,"Body Mass Index 70 and over, adult"
I5030,428.3,"Congestive heart failure, unspecified"
Z006,V70.7,Examination of participant in clinical trial
C9210,205.1,"Chronic myeloid leukemia, without mention of having achieved remission"
A4151,38.42,Septicemia due to escherichia coli [E. coli]
G935,348.4,Compression of brain
I130,404.01,"Hypertensive heart and chronic kidney disease, malignant, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified"
A6920,88.81,Lyme Disease
D72829,288.6,"Leukocytosis, unspecified"
D508,280.1,Iron deficiency anemia secondary to inadequate dietary iron intake
I6529,433.1,Occlusion and stenosis of carotid artery without mention of cerebral infarction
E43,262,Other severe protein-calorie malnutrition
I5022,428.22,Chronic systolic heart failure
R002,785.1,Palpitations
E11319,250.5,"Diabetes with ophthalmic manifestations, type II or unspecified type, not stated as uncontrolled"
E871,276.1,Hyposmolality and/or hyponatremia
G8194,342.82,Other specified hemiplegia and hemiparesis affecting nondominant side
E559,268.9,Unspecified vitamin D deficiency
D6851,289.81,Primary hypercoagulable state
Z9981,V46.2,"Other dependence on machines, supplemental oxygen"
I312,423,Hemopericardium
R319,599.7,"Hematuria, unspecified"
I9589,458.1,Chronic hypotension
M1990,715.3,"Osteoarthrosis, localized, not specified whether primary or secondary, site unspecified"
E873,276.3,Alkalosis
R570,785.51,Cardiogenic shock
T82897A,996.71,Other complications due to heart valve prosthesis
M96841,998.12,Hematoma complicating a procedure
I959,458.9,"Hypotension, unspecified"
G9340,348.3,"Encephalopathy, unspecified"
G629,357.9,Unspecified inflammatory and toxic neuropathy
E8809,273.8,Other disorders of plasma protein metabolism
Q245,746.85,Coronary artery anomaly
J95821,518.51,Acute respiratory failure following trauma and surgery
I499,427.9,"Cardiac dysrhythmia, unspecified"
I97820,997.02,Iatrogenic cerebrovascular infarction or hemorrhage
F17210,305.1,Tobacco use disorder
J9811,518,Pulmonary collapse
E7800,272,Pure hypercholesterolemia
E210,252.01,Primary hyperparathyroidism
E109,250.01,"Diabetes mellitus without mention of complication, type I [juvenile type], not stated as uncontrolled"
G43909,346.9,"Migraine, unspecified, without mention of intractable migraine without mention of status migrainosus"
Y848,E879.8,"Other specified procedures as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure"
I4819,427.31,Atrial fibrillation
D45,207.1,"Chronic erythremia, without mention of having achieved remission"
D509,280.9,"Iron deficiency anemia, unspecified"
I21A1,410.9,"Acute myocardial infarction of unspecified site, episode of care unspecified"
G248,333.79,Other acquired torsion dystonia
I308,420.99,Other acute pericarditis
K219,530.81,Esophageal reflux
E8770,276.69,Other fluid overload
A6000,54.1,"Genital herpes, unspecified"
I080,396,Mitral valve stenosis and aortic valve stenosis
E8342,275.2,Disorders of magnesium metabolism
I120,403.01,"Hypertensive chronic kidney disease, malignant, with chronic kidney disease stage V or end stage renal disease"
I4811,427.31,Atrial fibrillation
C9201,205.01,"Acute myeloid leukemia, in remission"
E271,255.41,Glucocorticoid deficiency
4148,414.8,Other specified forms of chronic ischemic heart disease
2869,286.9,Other and unspecified coagulation defects
40391,403.91,"Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage V or end stage renal disease"
78820,788.2,"Retention of urine, unspecified"
33394,333.94,Restless legs syndrome (RLS)
2930,293,Delirium due to conditions classified elsewhere
4279,427.9,"Cardiac dysrhythmia, unspecified"
4439,443.9,"Peripheral vascular disease, unspecified"
2662,266.2,Other B-complex deficiencies
78650,786.5,"Chest pain, unspecified"
V7281,V72.81,Pre-operative cardiovascular examination
4539,453.9,Other venous embolism and thrombosis of unspecified site
49390,493.9,"Asthma, unspecified type, unspecified"
V5869,V58.69,Long-term (current) use of other medications
25200,252,"Hyperparathyroidism, unspecified"
514,514,Pulmonary congestion and hypostasis
5180,518,Pulmonary collapse
3004,300.4,Dysthymic disorder
4263,426.3,Other left bundle branch block
99809,998.09,"Postoperative shock, other"
7862,786.2,Cough
V8542,V85.42,"Body Mass Index 45.0-49.9, adult"
42099,420.99,Other acute pericarditis
42613,426.13,Other second degree atrioventricular block
3331,333.1,Essential and other specified forms of tremor
3941,394.1,Rheumatic mitral insufficiency
V1079,V10.79,Personal history of other lymphatic and hematopoietic neoplasms
4269,426.9,"Conduction disorder, unspecified"
V4365,V43.65,Knee joint replacement
7464,746.4,Congenital insufficiency of aortic valve
4359,435.9,Unspecified transient cerebral ischemia
7213,721.3,Lumbosacral spondylosis without myelopathy
4290,429,"Myocarditis, unspecified"
71590,715.9,"Osteoarthrosis, unspecified whether generalized or localized, site unspecified"
V707,V70.7,Examination of participant in clinical trial
V7282,V72.82,Pre-operative respiratory examination
99889,998.89,Other specified complications of procedures not elsewhere classified
4144,414.4,Coronary atherosclerosis due to calcified coronary lesion
2630,263,Malnutrition of moderate degree
25541,255.41,Glucocorticoid deficiency
V8541,V85.41,"Body Mass Index 40.0-44.9, adult"
51884,518.84,Acute and chronic respiratory failure
4299,429.9,"Heart disease, unspecified"
79319,793.19,Other nonspecific abnormal finding of lung field
4149,414.9,"Chronic ischemic heart disease, unspecified"
6824,682.4,"Cellulitis and abscess of hand, except fingers and thumb"
4139,413.9,Other and unspecified angina pectoris
51889,518.89,"Other diseases of lung, not elsewhere classified"
3961,396.1,Mitral valve stenosis and aortic valve insufficiency
V5883,V58.83,Encounter for therapeutic drug monitoring
V6709,V67.09,"Follow-up examination, following other surgery"
V1089,V10.89,Personal history of malignant neoplasm of other sites
78605,786.05,Shortness of breath
41080,410.8,"Acute myocardial infarction of other specified sites, episode of care unspecified"
42761,427.61,Supraventricular premature beats
5939,593.9,Unspecified disorder of kidney and ureter
4293,429.3,Cardiomegaly
49320,493.2,"Chronic obstructive asthma, unspecified"
V5866,V58.66,Long-term (current) use of aspirin
34290,342.9,"Hemiplegia, unspecified, affecting unspecified side"
27650,276.5,"Volume depletion, unspecified"
2967,296.7,"Bipolar I disorder, most recent episode (or current) unspecified"
60000,600,Hypertrophy (benign) of prostate without urinary obstruction and other lower urinary tract symptom (LUTS)
71690,716.9,"Arthropathy, unspecified, site unspecified"
43310,433.1,Occlusion and stenosis of carotid artery without mention of cerebral infarction
59971,599.71,Gross hematuria
3942,394.2,Mitral stenosis with insufficiency
9571,957.1,Injury to other specified nerve(s)
2767,276.7,Hyperpotassemia
3949,394.9,Other and unspecified mitral valve diseases
27651,276.51,Dehydration
37515,375.15,"Tear film insufficiency, unspecified"
7245,724.5,"Backache, unspecified"
25050,250.5,"Diabetes with ophthalmic manifestations, type II or unspecified type, not stated as uncontrolled"
72871,728.71,Plantar fascial fibromatosis
23871,238.71,Essential thrombocythemia
3569,356.9,Unspecified hereditary and idiopathic peripheral neuropathy
78652,786.52,Painful respiration
4262,426.2,Left bundle branch hemiblock
V0481,V04.81,Need for prophylactic vaccination and inoculation against influenza
4414,441.4,Abdominal aneurysm without mention of rupture
78057,780.57,Unspecified sleep apnea
V462,V46.2,"Other dependence on machines, supplemental oxygen"
73390,733.9,"Disorder of bone and cartilage, unspecified"
5183,518.3,Pulmonary eosinophilia
34830,348.3,"Encephalopathy, unspecified"
V427,V42.7,Liver replaced by transplant
V433,V43.3,Heart valve replaced by transplant
5070,507,Pneumonitis due to inhalation of food or vomitus
5283,528.3,Cellulitis and abscess of oral soft tissues
72251,722.51,Degeneration of thoracic or thoracolumbar intervertebral disc
4242,424.2,"Tricuspid valve disorders, specified as nonrheumatic"
78659,786.59,Other chest pain
79439,794.39,Other nonspecific abnormal results of function study of cardiovascular system
5194,519.4,Disorders of diaphragm
36840,368.4,"Visual field defect, unspecified"
42989,429.89,Other ill-defined heart diseases
5989,598.9,"Urethral stricture, unspecified"
2572,257.2,Other testicular hypofunction
41410,414.1,Aneurysm of heart (wall)
V8543,V85.43,"Body Mass Index 50.0-59.9, adult"
V1255,V12.55,Personal history of pulmonary embolism
30500,305,"Alcohol abuse, unspecified"
V5331,V53.31,Fitting and adjustment of cardiac pacemaker
47875,478.75,Laryngeal spasm
99601,996.01,Mechanical complication due to cardiac pacemaker (electrode)
7295,729.5,Pain in limb
4590,459,"Hemorrhage, unspecified"
40211,402.11,Benign hypertensive heart disease with heart failure
44021,440.21,Atherosclerosis of native arteries of the extremities with intermittent claudication
2760,276,Hyperosmolality and/or hypernatremia
2512,251.2,"Hypoglycemia, unspecified"
27541,275.41,Hypocalcemia
I358,424.1,Aortic valve disorders
S3730XA,867,"Injury to bladder and urethra, without mention of open wound into cavity"
I252,412,Old myocardial infarction
J45909,493.9,"Asthma, unspecified type, unspecified"
F418,300.09,Other anxiety states
T8451XA,996.66,Infection and inflammatory reaction due to internal joint prosthesis
H269,366.9,Unspecified cataract
K9181,997.49,Other digestive system complications
I255,414.8,Other specified forms of chronic ischemic heart disease
I340,424,Mitral valve disorders
I421,425.11,Hypertrophic obstructive cardiomyopathy
I309,420.9,"Acute pericarditis, unspecified"
E875,276.7,Hyperpotassemia
F410,300.01,Panic disorder without agoraphobia
I517,429.3,Cardiomegaly
R0789,786.59,Other chest pain
Z01818,V72.83,Other specified pre-operative examination
I361,424.2,"Tricuspid valve disorders, specified as nonrheumatic"
E876,276.8,Hypopotassemia
I422,425.18,Other hypertrophic cardiomyopathy
F1021,303.93,"Other and unspecified alcohol dependence, in remission"
R41841,799.52,Cognitive communication deficit
M069,714,Rheumatoid arthritis
N390,599,"Urinary tract infection, site not specified"
Y840,E879.0,"Cardiac catheterization as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure"
I5031,428.31,Acute diastolic heart failure
Z881,V14.1,Personal history of allergy to other antibiotic agent
I4510,426.4,Right bundle branch block
D631,285.21,Anemia in chronic kidney disease
I2589,414.8,Other specified forms of chronic ischemic heart disease
Z0189,V72.85,Other specified examination
E872,276.2,Acidosis
G40909,345.9,"Epilepsy, unspecified, without mention of intractable epilepsy"
F17200,305.1,Tobacco use disorder
F1010,305,"Alcohol abuse, unspecified"
Z87891,V15.82,Personal history of tobacco use
K2270,530.85,Barrett's esophagus
R001,427.81,Sinoatrial node dysfunction
I214,410.71,"Subendocardial infarction, initial episode of care"
K661,568.81,Hemoperitoneum (nontraumatic)
N184,585.4,"Chronic kidney disease, Stage IV (severe)"
J9601,518.51,Acute respiratory failure following trauma and surgery
G7000,358,Myasthenia gravis without (acute) exacerbation
I059,394.9,Other and unspecified mitral valve diseases
S301XXA,922.2,Contusion of abdominal wall
I4581,426.82,Long QT syndrome
M79661,729.5,Pain in limb
Z902,V45.76,"Acquired absence of organ, lung"
E1142,357.2,Polyneuropathy in diabetes
E440,263,Malnutrition of moderate degree
N99821,998.11,Hemorrhage complicating a procedure
I513,429.89,Other ill-defined heart diseases
Y929,E849.9,Accidents occurring in unspecified place
E063,245.2,Chronic lymphocytic thyroiditis
G309,331,Alzheimer's disease
M8589,733.9,"Disorder of bone and cartilage, unspecified"
G4700,780.52,"Insomnia, unspecified"
R030,796.2,Elevated blood pressure reading without diagnosis of hypertension
E1165,250.8,"Diabetes with other specified manifestations, type II or unspecified type, not stated as uncontrolled"
I083,397.9,"Rheumatic diseases of endocardium, valve unspecified"
E441,263.1,Malnutrition of mild degree
D539,281.9,Unspecified deficiency anemia
F411,300.02,Generalized anxiety disorder
A419,389,Unspecified septicemia
I420,425.4,Other primary cardiomyopathies
B372,112.3,Candidiasis of skin and nails
29410,294.1,Dementia in conditions classified elsewhere without behavioral disturbance
27802,278.02,Overweight
7291,729.1,"Myalgia and myositis, unspecified"
79001,790.01,Precipitous drop in hematocrit
V1011,V10.11,Personal history of malignant neoplasm of bronchus and lung
V8801,V88.01,Acquired absence of both cervix and uterus
5184,518.4,"Acute edema of lung, unspecified"
4400,440,Atherosclerosis of aorta
5789,578.9,"Hemorrhage of gastrointestinal tract, unspecified"
79092,790.92,Abnormal coagulation profile
7850,785,"Tachycardia, unspecified"
7859,785.9,Other symptoms involving cardiovascular system
4160,416,Primary pulmonary hypertension
4371,437.1,Other generalized ischemic cerebrovascular disease
72402,724.02,"Spinal stenosis, lumbar region, without neurogenic claudication"
4739,473.9,Unspecified sinusitis (chronic)
1749,174.9,"Malignant neoplasm of breast (female), unspecified"
V103,V10.3,Personal history of malignant neoplasm of breast
5712,571.2,Alcoholic cirrhosis of liver
78060,780.6,"Fever, unspecified"
4619,461.9,"Acute sinusitis, unspecified"
75312,753.12,"Polycystic kidney, unspecified type"
38610,386.1,"Peripheral vertigo, unspecified"
5856,585.6,End stage renal disease
3659,365.9,Unspecified glaucoma
4267,426.7,Anomalous atrioventricular excitation
V4579,V45.79,Other acquired absence of organ
V4364,V43.64,Hip joint replacement
99709,997.09,Other nervous system complications
4259,425.9,"Secondary cardiomyopathy, unspecified"
3599,359.9,"Myopathy, unspecified"
36201,362.01,Background diabetic retinopathy
920,920,"Contusion of face, scalp, and neck except eye(s)"
V4581,V45.81,Aortocoronary bypass status
33818,338.18,Other acute postoperative pain
V173,V17.3,Family history of ischemic heart disease
78909,789.09,"Abdominal pain, other specified site"
56400,564,"Constipation, unspecified"
3489,348.9,Unspecified condition of brain
7802,780.2,Syncope and collapse
1273,127.3,Trichuriasis
40200,402,Malignant hypertensive heart disease without heart failure
V5881,V58.81,Fitting and adjustment of vascular catheter
7843,784.3,Aphasia
78959,789.59,Other ascites
V641,V64.1,Surgical or other procedure not carried out because of contraindication
V5849,V58.49,Other specified aftercare following surgery
78651,786.51,Precordial pain
V1087,V10.87,Personal history of malignant neoplasm of thyroid
3548,354.8,Other mononeuritis of upper limb
72290,722.9,"Other and unspecified disc disorder, unspecified region"
49382,493.82,Cough variant asthma
27400,274,"Gouty arthropathy, unspecified"
7869,786.9,Other symptoms involving respiratory system and chest
2867,286.7,Acquired coagulation factor deficiency
7847,784.7,Epistaxis
V148,V14.8,Personal history of allergy to other specified medicinal agents
4785,478.5,Other diseases of vocal cords
78900,789,"Abdominal pain, unspecified site"
42653,426.53,Other bilateral bundle branch block
72751,727.51,Synovial cyst of popliteal space
V5882,V58.82,"Fitting and adjustment of nonvascular catheter, NEC"
51189,511.89,"Other specified forms of effusion, except tuberculous"
2819,281.9,Unspecified deficiency anemia
R509,780.6,"Fever, unspecified"
M1A9XX0,274.02,Chronic gouty arthropathy without mention of tophus (tophi)
